"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/11/2020","AQS","290030001","1","0.048","ppm","44","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/12/2020","AQS","290030001","1","0.058","ppm","61","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/13/2020","AQS","290030001","1","0.057","ppm","58","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/14/2020","AQS","290030001","1","0.056","ppm","54","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/15/2020","AQS","290030001","1","0.057","ppm","58","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/16/2020","AQS","290030001","1","0.054","ppm","50","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/17/2020","AQS","290030001","1","0.061","ppm","71","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/18/2020","AQS","290030001","1","0.059","ppm","64","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/19/2020","AQS","290030001","1","0.035","ppm","32","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/20/2020","AQS","290030001","1","0.046","ppm","43","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
